from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
U454Z301,U454Z2,1,,1301_249_181215,391_48_180901
U454Z301,U454Z2P,1,,1301_15_180430,211_25_180430
U454Z301,U454Z2P,1,,1301_55_181218,211_27_180430
U454Z301,U454Z2P,1,,1301_237_181209,211_149_181209
U2118Z301,U2118Z2,1,,1305_120_181209,626_53_181209
U2118Z301,U2118Z2,1,,1305_117_181209,626_58_181209
U2118Z301,U2118Z2,1,,1305_52_181209,626_62_181209
U1616Z301,U1616Z1,1,,1307_351_181209,664_110_181209
U1616Z301,U1616Z2,1,,1307_371_181209,665_237_181209
U1616Z301,U1616Z1,1,,1307_312_181209,664_112_181209
U1616Z301,U1616Z2,1,,1307_355_181209,665_239_181209
U1616Z301,U1616Z1,1,,1307_357_181209,664_114_181209
U1616Z301,U1616Z2,1,,1307_359_181209,665_241_181209
U1616Z301,U1616Z1,1,,1307_361_181209,664_116_181209
U1616Z301,U1616Z1,1,,1307_412_181210,664_116_181209
U1616Z301,U1616Z2,1,,1307_381_181209,665_243_181209
U456Z301,U456Z3,1,,1307_308_181209,313_75_181209
U456Z301,U456Z3,1,,1307_331_181209,313_77_190316
U456Z301,U456Z3,1,,1307_333_181209,313_79_181209
U456Z301,U456Z3,1,,1307_373_181209,313_81_190316
U456Z301,U456Z3,1,,1307_314_181209,313_83_181209
U456Z301,U456Z3,1,,1307_357_181209,313_85_190316
U456Z301,U456Z3,1,,1307_339_181209,313_87_190316
U456Z301,U456Z3,1,,1307_341_181209,313_89_190316
U456Z301,U456Z3,1,,1307_343_181209,313_91_190316
U456Z301,U456Z3,1,,1307_345_181209,313_93_190316
U456Z301,U456Z3,1,,1307_367_181209,313_95_190316
U1616Z301,U1616Z1,1,,1307_363_181209,664_118_181209
U1616Z301,U1616Z2,1,,1307_383_181209,665_245_181209
U1616Z301,U1616Z2,1,,1307_385_181209,665_247_181209
U1712Z3,U1712Z2,1,,446_22_180430,317_33_180501
U1702Z2,U1702Z2,1,,318_102_180909,317_33_180501
U1702Z2,U1702Z2,1,,318_118_180501,321_43_180501
U1702Z1,U1702Z1,1,,318_119_180501,317_34_180501
U1712Z3,U1712Z1,1,,446_44_180430,317_34_180501
U1712Z3,U1712Z2,1,,446_46_180430,317_35_180501
U1702Z2,U1702Z2,1,,318_108_180909,317_35_180501
U1702Z2,U1702Z2,1,,318_43_180909,321_45_180501
U1702Z1,U1702Z1,1,,318_124_180909,317_10_190224
U1712Z3,U1712Z2,1,,446_6_180430,317_40_180501
U1702Z2,U1702Z2,1,,318_98_180909,317_40_180501
U1702Z2,U1702Z2,1,,318_114_180909,321_47_180501
U1712Z3,U1712Z1,1,,446_26_180430,317_15_190224
U1712Z3,U1712Z2,1,,446_28_180430,317_16_180701
U1702Z2,U1702Z2,1,,318_104_180501,317_16_180701
U1702Z1,U1702Z1,1,,318_121_180909,317_53_180701
U1712Z3,U1712Z2,1,,446_54_180430,317_54_180701
U1702Z2,U1702Z2,1,,318_110_180909,317_54_180701
U1702Z1,U1702Z1,1,,318_24_180909,321_50_180501
U1702Z2,U1702Z2,1,,318_125_180909,321_20_180501
U1712Z3,U1712Z1,1,,446_69_180501,317_2_180501
U1712Z3,U1712Z2,1,,446_71_180501,317_59_180501
U1702Z2,U1702Z2,1,,318_100_180909,317_59_180501
U1702Z2,U1702Z2,1,,318_116_180909,321_52_180501
U1712Z3,U1712Z2,1,,446_34_180430,317_42_180701
U1702Z2,U1702Z2,1,,318_106_180501,317_42_180701
U1702Z1,U1702Z1,1,,318_109_180909,317_60_180501
U1702Z2,U1702Z2,1,,318_120_180501,317_61_180501
U1702Z1,U1702Z1,1,,318_123_180909,317_21_180701
U1712Z3,U1712Z1,1,,446_60_180430,317_21_180701
U1712Z3,U1712Z2,1,,446_62_180430,317_22_180701
U1702Z2,U1702Z2,1,,318_111_180909,317_22_180701
U1712Z3,U1712Z2,1,,446_67_180430,317_11_190224
U1702Z2,U1702Z2,1,,317_40_180501,318_98_180909
U1702Z2,U1702Z2,1,,317_40_180505,318_98_180909
U1702Z1,U1702Z1,1,,317_66_180505,318_99_180909
U1702Z2,U1702Z2,1,,317_59_180501,318_100_180909
U1702Z2,U1702Z2,1,,317_59_180505,318_100_180909
U1702Z1,U1702Z1,1,,317_4_180505,318_101_180909
U1702Z2,U1702Z2,1,,317_33_180501,318_102_180909
U1702Z2,U1702Z2,1,,317_33_180505,318_102_180909
U1702Z1,U1702Z1,1,,317_56_180505,318_103_180909
U1702Z2,U1702Z2,1,,317_16_180701,318_104_180501
U1702Z1,U1702Z1,1,,317_65_180505,318_105_180501
U1702Z2,U1702Z2,1,,317_42_180701,318_106_180501
U1702Z1,U1702Z1,1,,317_57_180501,318_107_180501
U1702Z1,U1702Z1,1,,317_57_180505,318_107_180501
U1702Z2,U1702Z2,1,,317_35_180501,318_108_180909
U1702Z2,U1702Z2,1,,317_35_180505,318_108_180909
U1702Z1,U1702Z1,1,,317_60_180501,318_109_180909
U1702Z2,U1702Z2,1,,317_54_180701,318_110_180909
U1702Z1,U1702Z1,1,,321_50_180501,318_24_180909
U1702Z2,U1702Z2,1,,317_22_180701,318_111_180909
U1702Z1,U1702Z1,1,,321_13_190224,318_26_180501
U1702Z1,U1702Z1,1,,321_13_180501,318_26_180501
U1702Z2,U1702Z2,1,,318_112_180909,321_41_180501
U1702Z1,U1702Z1,1,,317_32_180501,318_113_180909
U1702Z1,U1702Z1,1,,317_32_180505,318_113_180909
U1702Z2,U1702Z2,1,,317_51_180505,318_114_180909
U1702Z1,U1702Z1,1,,317_15_190224,318_115_180909
U1702Z1,U1702Z1,1,,317_15_180701,318_115_180909
U1702Z2,U1702Z2,1,,317_5_180505,318_116_180909
U1702Z1,U1702Z1,1,,317_6_190224,318_117_180501
U1702Z1,U1702Z1,1,,317_6_180701,318_117_180501
U1702Z2,U1702Z2,1,,317_62_180505,318_118_180501
U1702Z1,U1702Z1,1,,317_34_180501,318_119_180501
U1702Z1,U1702Z1,1,,317_34_180505,318_119_180501
U1702Z2,U1702Z2,1,,317_61_180501,318_120_180501
U1702Z1,U1702Z1,1,,317_53_180701,318_121_180909
U1702Z2,U1702Z2,1,,317_58_180501,318_122_180909
U1702Z2,U1702Z2,1,,317_58_180505,318_122_180909
U1702Z1,U1702Z1,1,,317_21_180701,318_123_180909
U1702Z2,U1702Z2,1,,321_45_180501,318_43_180909
U1702Z2,U1702Z2,1,,321_45_180505,318_43_180909
